RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,id,team_img,player_img
550,Mallory Bruce,UNCA,G,31,28.6,11.4,4.1,10.2,40.2,0.8,2.8,27.6,2.4,3.1,76.3,5.0,0.9,0.5,0.2,2.7,4899630,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2427.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899630.png&w=350&h=254
551,Zahirah Walton,GMU,F,30,22.4,11.3,3.8,8.8,43.4,0.3,1.2,24.3,3.4,4.4,76.5,5.6,0.5,1.4,1.1,1.3,5107451,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2244.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107451.png&w=350&h=254
552,Destiny Jackson,RICE,G,34,28.7,11.3,4.1,9.5,43.8,0.5,2.0,23.5,2.6,3.1,82.9,5.0,3.5,1.6,0.3,2.3,4595231,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595231.png&w=350&h=254
553,Amirah Abdur-Rahim,SMU,F,29,27.3,11.3,5.1,9.6,53.1,0.0,0.2,0.0,1.2,2.1,56.7,6.4,1.5,1.0,1.7,2.1,4433747,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433747.png&w=350&h=254
554,Kaila Rougier,UNF,G,29,29.8,11.3,4.0,10.6,37.6,1.5,5.8,25.6,1.9,2.5,75.3,4.0,1.8,1.3,0.0,2.6,4898860,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2454.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898860.png&w=350&h=254
555,Teisha Hyman,URI,G,30,28.1,11.3,4.4,11.2,38.9,0.9,3.2,27.8,1.7,2.3,71.4,5.6,2.0,1.4,0.2,2.0,4433655,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/227.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433655.png&w=350&h=254
556,Janay Turner,LONG,G,24,24.8,11.3,3.3,9.1,36.2,1.5,4.0,37.1,3.2,4.4,73.3,2.0,0.7,1.0,0.0,1.9,4899969,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2344.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899969.png&w=350&h=254
557,Katie Krupa,HARV,F,28,28.6,11.3,4.0,8.0,50.4,1.6,3.6,43.1,1.6,1.9,85.2,2.8,1.8,0.8,0.9,1.8,4566914,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/108.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4566914.png&w=350&h=254
558,Tyana Walker,HOW,G,29,23.7,11.3,4.0,11.9,33.7,1.8,5.6,31.9,1.5,1.9,79.6,3.0,1.0,1.0,0.2,2.9,5109716,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/47.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5109716.png&w=350&h=254
559,Jillian Archer,SJU,F,33,30.5,11.3,4.3,7.2,59.8,0.0,0.0,0.0,2.6,3.6,72.9,7.6,0.7,0.8,1.5,2.0,4398822,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4398822.png&w=350&h=254
560,Aaliyah Moore,TEX,F,33,22.0,11.3,4.2,7.9,52.9,0.1,0.4,28.6,2.8,4.2,66.2,6.1,1.2,0.7,0.2,1.7,4433794,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433794.png&w=350&h=254
561,Jayden Marable,NIU,G,31,32.2,11.3,4.6,12.0,38.3,0.7,2.5,28.6,1.3,2.1,64.1,5.2,4.1,1.3,0.3,2.8,4705368,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2459.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4705368.png&w=350&h=254
562,Taylor Thierry,OSU,G,32,27.1,11.3,4.1,6.7,61.0,0.4,0.9,44.8,2.7,3.6,75.7,5.3,1.5,1.7,0.5,1.0,4898400,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898400.png&w=350&h=254
563,Makayla Moore,SEA,G,28,29.3,11.3,4.4,10.0,44.3,0.9,2.9,30.0,1.5,2.1,72.9,4.2,0.8,1.0,0.5,1.9,5108018,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2547.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108018.png&w=350&h=254
564,Mara Neira,PRES,G,33,27.4,11.2,4.2,11.8,36.1,2.1,6.6,31.3,0.7,0.9,76.7,4.4,1.9,1.6,0.1,2.4,5107763,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2506.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107763.png&w=350&h=254
565,Jakoriah Long,TAR,G,31,29.3,11.2,3.7,7.7,47.7,1.0,2.7,36.9,2.9,3.7,77.4,2.7,2.5,0.8,0.4,2.2,5175530,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2627.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5175530.png&w=350&h=254
566,Kyla Bryant,NCCU,G,31,32.9,11.2,4.0,11.4,35.5,1.1,3.9,28.1,2.1,3.1,67.4,4.6,2.2,1.7,0.2,3.2,5178572,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2428.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178572.png&w=350&h=254
567,Mya Glanton,INST,F,32,27.6,11.2,4.8,9.3,51.0,0.0,0.3,9.1,1.7,2.4,69.2,6.9,0.8,0.8,0.7,1.9,4595587,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/282.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595587.png&w=350&h=254
568,Ava Learn,MUR,F,32,21.0,11.2,4.5,8.5,53.5,0.0,0.4,7.7,2.1,2.8,76.4,5.7,0.5,0.8,1.2,2.0,4899062,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/93.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899062.png&w=350&h=254
569,Kate Johnson,FUR,F,28,24.4,11.2,4.7,7.8,60.1,0.0,0.0,0.0,1.9,3.0,61.9,6.5,0.8,0.5,0.9,1.5,4900398,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/231.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900398.png&w=350&h=254
570,Jadyn Matthews,WEB,F,33,31.1,11.2,4.1,10.4,39.8,0.7,2.3,32.0,2.2,2.7,82.2,5.5,1.6,1.1,0.3,1.9,4594879,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2692.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4594879.png&w=350&h=254
571,Miah Monahan,EIU,G,33,35.8,11.2,4.1,10.6,38.9,1.0,3.8,25.6,2.0,2.5,78.6,4.2,5.1,1.3,0.1,3.8,4900198,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2197.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900198.png&w=350&h=254
572,Kylah Silver,UNCW,G,25,30.5,11.2,3.6,9.7,37.6,0.3,1.7,16.3,3.6,5.0,72.8,4.6,1.0,1.2,0.4,2.8,5177801,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/350.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177801.png&w=350&h=254
573,Theryn Hallock,MSU,G,31,25.9,11.2,4.3,8.2,52.2,1.0,2.7,36.9,1.6,2.1,78.1,2.2,2.6,1.4,0.3,1.9,5107854,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107854.png&w=350&h=254
574,Kaylah Turner,AAMU,G,31,31.6,11.2,4.4,13.0,33.6,1.1,4.1,26.6,1.4,2.0,69.4,3.4,2.4,1.4,0.2,3.5,5177904,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2010.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177904.png&w=350&h=254
575,Jessica Timmons,ALA,G,32,27.1,11.2,4.0,9.3,42.8,1.0,3.3,31.4,2.2,2.8,78.0,4.5,2.3,1.0,0.0,2.3,4433811,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433811.png&w=350&h=254
576,Stefanie Kulesza,MASS,G,32,31.3,11.2,4.5,9.7,46.9,0.9,2.6,33.7,1.3,1.7,74.1,7.1,1.5,1.9,0.4,2.2,4728655,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/113.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4728655.png&w=350&h=254
577,Tae'lor Willard,CHST,G,27,32.1,11.2,4.0,12.2,32.7,0.7,3.1,24.1,2.4,3.0,82.5,2.7,2.8,1.1,0.1,3.4,4596276,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2130.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4596276.png&w=350&h=254
578,Kiley Capstraw,YALE,G,27,32.5,11.2,4.3,12.6,34.3,1.3,4.7,26.6,1.3,1.9,68.0,3.3,1.2,0.9,0.1,2.1,5108958,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/43.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108958.png&w=350&h=254
579,Maleia Bracone,NCAT,G,34,33.7,11.2,3.7,10.8,34.5,1.4,5.7,24.2,2.3,2.8,84.0,4.5,2.9,2.3,0.4,2.7,4704888,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2448.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704888.png&w=350&h=254
580,Rachel Ullstrom,RICH,G,35,23.7,11.2,4.0,7.6,53.0,1.9,4.5,43.0,1.2,1.4,82.0,4.5,0.5,1.0,0.3,1.0,5107504,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/257.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107504.png&w=350&h=254
581,Paula Reus,UNM,F,31,32.5,11.2,4.2,10.3,41.1,1.4,4.1,33.6,1.3,1.8,74.5,5.5,1.8,1.1,0.4,2.5,4900583,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/167.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900583.png&w=350&h=254
582,Irene Murua,DETM,F,33,31.5,11.2,4.3,8.5,51.3,0.1,0.2,25.0,2.4,3.3,73.4,7.4,1.5,0.8,0.5,2.1,4704201,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2174.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704201.png&w=350&h=254
583,Sharna Ayres,NWST,G,30,31.1,11.1,3.8,10.8,35.4,2.5,7.3,33.6,1.0,1.4,73.2,5.4,1.0,0.8,0.6,2.5,4595167,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2466.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595167.png&w=350&h=254
584,Jorie Allen,DEP,F,32,28.7,11.1,4.0,8.8,46.1,0.1,0.4,21.4,3.0,3.6,83.3,6.5,2.3,1.1,0.6,2.1,4432936,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/305.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4432936.png&w=350&h=254
585,Kaylee Jefferson,SHSU,F,29,33.2,11.1,4.0,11.2,35.3,0.9,3.3,25.8,2.3,3.2,72.8,5.4,1.9,1.1,0.2,2.1,4418429,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2534.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4418429.png&w=350&h=254
586,Kimeira Burks,NCCU,G,29,27.0,11.1,3.9,11.3,34.1,2.2,7.2,30.6,1.2,1.5,79.1,4.1,1.1,1.4,0.1,2.5,4595458,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2428.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595458.png&w=350&h=254
587,Jada Ryce,WIN,G,30,31.8,11.1,3.8,9.3,41.4,0.8,2.5,32.0,2.6,3.4,77.5,3.3,2.4,1.8,0.0,2.6,4900394,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2737.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900394.png&w=350&h=254
588,Katie Novik,MORE,G,30,26.4,11.1,3.9,8.8,44.3,1.2,3.1,37.6,2.1,3.6,59.3,4.3,3.6,1.7,1.0,3.3,5178415,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2413.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178415.png&w=350&h=254
589,Kiley Bess,INST,G,31,32.4,11.1,3.6,8.9,40.9,1.2,3.7,32.2,2.6,3.4,76.4,4.1,1.9,1.7,0.2,2.3,4704137,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/282.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704137.png&w=350&h=254
590,Gabi Vidmar,CSUF,G,31,35.0,11.1,3.8,9.6,39.7,2.2,5.9,37.0,1.3,1.5,85.1,4.3,2.3,2.3,0.3,1.8,4704360,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2239.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704360.png&w=350&h=254
591,Jasmyne Roberts,MIA,G,31,28.6,11.1,4.3,9.3,46.5,0.8,2.8,29.9,1.6,2.1,78.1,4.9,1.5,1.6,0.4,2.5,4898555,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898555.png&w=350&h=254
592,Jamiya Turner,STET,G,32,27.8,11.1,4.2,9.5,44.4,0.1,0.8,11.5,2.6,3.6,70.7,5.5,2.0,1.1,0.3,2.3,4594427,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/56.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4594427.png&w=350&h=254
593,Tuti Jones,BEL,G,35,32.9,11.1,4.0,10.5,38.5,1.9,5.7,32.7,1.2,1.6,74.5,4.0,3.9,2.5,0.1,2.2,4705405,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2057.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4705405.png&w=350&h=254
594,Kennedi Watkins,OHIO,G,26,25.8,11.1,4.1,10.2,40.2,0.7,2.8,24.7,2.2,3.0,72.7,3.8,0.8,1.5,0.5,2.7,4900220,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/195.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900220.png&w=350&h=254
595,Mireia Aguado,AMCC,G,32,25.1,11.1,4.2,8.2,51.0,0.3,1.1,25.7,2.4,3.3,72.6,4.1,2.5,2.1,0.3,2.3,4704986,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/357.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704986.png&w=350&h=254
596,Esmery Martinez,ARIZ,F,33,27.5,11.1,4.1,9.5,43.5,0.5,2.1,26.1,2.3,2.9,78.1,6.3,2.2,2.0,0.5,2.6,4433353,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/12.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433353.png&w=350&h=254
597,D'Mya Tucker,NCAT,G,33,33.8,11.1,3.8,9.2,41.4,0.6,2.3,27.6,2.8,3.4,83.9,5.4,1.7,0.8,0.4,2.7,4705328,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2448.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4705328.png&w=350&h=254
598,Addison Martin,ACU,F,25,29.2,11.0,4.4,9.9,44.8,0.0,0.2,20.0,2.1,3.3,64.6,4.9,1.7,0.8,0.4,1.5,4899861,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2000.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899861.png&w=350&h=254
599,Tanajah Hayes,FIU,PG,27,30.0,11.0,4.0,10.0,40.5,0.8,2.4,34.4,2.1,2.8,76.3,3.5,3.8,2.2,0.2,2.8,4899077,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2229.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899077.png&w=350&h=254
600,Hope Sivori,BELL,G,29,31.9,11.0,3.6,10.8,33.1,2.2,7.0,31.7,1.7,2.0,82.8,4.3,4.3,2.1,0.0,3.0,4704584,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/91.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704584.png&w=350&h=254
601,Katelynn Limardo,MTST,G,29,31.9,11.0,3.2,9.3,34.4,1.5,4.8,31.7,3.1,3.9,79.6,6.4,1.9,1.8,0.5,2.4,4705201,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/147.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4705201.png&w=350&h=254
602,Fatmata Janneh,SPU,F,29,28.8,11.0,4.1,11.2,36.5,0.9,3.0,28.4,2.0,3.1,64.0,8.0,1.0,1.5,0.5,4.4,5178583,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2612.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178583.png&w=350&h=254
603,Marah Dykstra,MTST,F,31,30.3,11.0,3.8,8.9,42.4,0.3,1.3,25.0,3.2,4.2,75.4,5.7,2.6,0.7,0.9,2.6,5107687,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/147.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107687.png&w=350&h=254
604,Kinsley Barrington,CBU,F,32,26.1,11.0,4.3,9.7,44.3,1.0,3.4,29.4,1.5,1.9,77.0,5.3,1.9,0.9,0.3,1.9,4704904,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2856.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704904.png&w=350&h=254
605,Ayanna Khalfani,UNCG,G,33,29.5,11.0,4.5,10.2,43.6,0.0,0.2,0.0,2.1,3.6,58.8,6.9,3.5,1.3,1.0,3.1,4595847,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2430.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595847.png&w=350&h=254
606,Ashlynn Shade,CONN,G,38,31.4,11.0,4.4,9.1,48.1,1.7,4.7,35.6,0.6,0.6,91.3,3.5,1.4,1.0,0.1,1.0,5174493,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5174493.png&w=350&h=254
607,Te-Hina Paopao,SC,G,37,27.4,11.0,3.9,8.6,46.1,2.4,5.0,46.8,0.8,0.9,84.8,2.6,3.7,0.8,0.2,1.6,4433431,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433431.png&w=350&h=254
608,Jayme DeCesare,MRMK,G,31,34.6,11.0,3.5,10.2,34.2,1.5,5.0,29.5,2.5,3.2,79.0,4.1,2.9,0.6,0.1,2.0,4597019,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2771.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4597019.png&w=350&h=254
609,Mya Perry,FAU,G,28,28.4,11.0,3.6,9.8,37.4,2.4,6.1,38.6,1.4,2.0,69.1,2.2,1.0,1.1,0.2,1.8,5108533,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2226.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108533.png&w=350&h=254
610,Adalia McKenzie,ILL,G,34,28.4,11.0,4.4,8.9,49.3,0.1,0.4,21.4,2.1,2.8,73.7,5.0,2.2,1.4,0.1,2.0,4691696,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4691696.png&w=350&h=254
611,Malene Pedersen,WYO,G,33,29.6,11.0,4.2,8.9,46.6,1.0,3.3,31.2,1.6,1.8,90.0,3.4,2.1,0.9,0.0,1.2,4898996,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2751.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898996.png&w=350&h=254
612,Alexis Mead,WKU,G,32,31.3,11.0,3.8,9.4,40.9,1.5,4.2,35.6,1.8,2.4,75.0,4.1,4.1,1.9,0.1,3.2,4899598,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/98.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899598.png&w=350&h=254
613,Anajah Brown,SIE,F,23,25.1,11.0,4.5,8.7,51.2,0.0,0.1,0.0,2.0,3.2,63.0,7.4,1.3,1.3,1.6,2.4,4899879,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2561.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899879.png&w=350&h=254
614,Ivy Turner,EKU,G,33,32.1,10.9,3.8,9.3,41.5,1.2,3.5,34.5,2.0,2.4,85.9,3.8,3.2,1.5,0.0,1.7,4595443,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2198.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595443.png&w=350&h=254
615,Ber'Nyah Mayo,SJU,G,33,31.9,10.9,3.8,9.8,39.2,0.7,2.9,25.3,2.5,3.5,72.2,3.1,3.5,1.7,0.0,1.9,4704146,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704146.png&w=350&h=254
616,Jiselle Woodson,NWST,G,25,31.7,10.9,3.7,11.8,31.2,1.1,4.7,23.1,2.5,3.4,73.8,4.2,3.2,1.2,0.2,2.7,4900432,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2466.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900432.png&w=350&h=254
