RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,id,team_img,player_img
16,Temira Poindexter,TLSA,F,35,34.2,21.0,7.6,17.5,43.2,2.4,7.5,32.3,3.4,4.7,71.7,5.3,1.9,0.7,1.5,3.3,4898634,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898634.png&w=350&h=254
17,Danae McNeal,ECU,G,33,34.4,20.7,7.6,18.6,41.0,1.1,3.9,27.9,4.4,5.6,78.3,3.2,2.3,3.2,0.7,2.9,4433314,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/151.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433314.png&w=350&h=254
18,Chloe Webb,CBU,G,32,31.3,20.7,6.8,13.8,48.9,1.9,5.3,36.7,5.3,6.5,81.2,7.9,2.8,2.4,0.1,2.1,4595208,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2856.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595208.png&w=350&h=254
19,Kaitlin Peterson,UCF,G,29,37.6,20.7,6.8,17.9,38.2,2.2,6.8,33.0,4.8,6.3,75.4,3.8,1.4,2.0,0.1,2.4,4683312,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4683312.png&w=350&h=254
20,Edyn Battle,JAX,G,31,34.1,20.4,7.5,17.1,43.5,1.2,3.7,33.0,4.3,6.0,71.4,3.6,2.5,1.6,0.1,3.8,4705362,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/294.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4705362.png&w=350&h=254
21,Abbey Hsu,COLU,G,30,34.2,20.4,7.2,16.1,44.6,3.0,7.7,38.8,3.0,4.0,75.2,7.3,2.1,1.1,0.5,2.2,4594973,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/171.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4594973.png&w=350&h=254
22,Domonique Davis,USM,G,33,32.2,20.2,6.8,15.5,44.1,1.5,4.3,35.2,5.0,6.1,81.7,3.8,3.3,1.5,0.1,2.7,4432949,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2572.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4432949.png&w=350&h=254
23,Rickea Jackson,TENN,F,25,31.6,20.2,8.0,16.4,48.5,0.9,2.6,33.8,3.4,4.4,78.0,8.2,2.3,0.7,0.2,2.9,4433630,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633_ncw.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433630.png&w=350&h=254
24,Mackenzie Holmes,IU,F,32,28.4,19.8,8.1,12.5,65.0,0.1,0.4,16.7,3.5,4.8,71.6,6.8,1.4,0.9,1.6,2.4,4433643,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433643.png&w=350&h=254
25,JJ Quinerly,WVU,G,33,31.1,19.8,7.3,15.8,46.2,1.7,4.8,34.4,3.5,4.5,78.5,3.2,2.7,2.9,0.1,3.3,4434015,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4434015.png&w=350&h=254
26,Ayoka Lee,KSU,C,27,27.3,19.7,8.2,13.2,61.9,0.0,0.0,100.0,3.3,4.7,70.3,8.6,0.8,1.0,2.8,1.3,4398964,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2306.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4398964.png&w=350&h=254
27,Yvonne Ejim,GONZ,F,34,27.3,19.7,8.4,14.0,60.1,0.0,0.2,14.3,2.9,3.5,81.5,8.7,2.3,1.4,1.0,1.8,4703874,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4703874.png&w=350&h=254
